,company_name,company_website,url_type,power_url,wait_for
37,mca_connect,https://mcaconnect.com/,static,https://jobs.lever.co/mcaconnect,"class=""posting-categories"""
38,eide_bailly_llp,https://www.eidebailly.com/,static,https://careers.eidebailly.com/jobs?_gl=1*kdg89h*_gcl_au*NDIxNzEyMzk3LjE3NDgyMjUxMTM.&keywords=power%20platform&sortBy=relevance&page=1,"class=""mat-accordion cards"""
39,wipfli_(technology_consulting),https://www.wipfli.com/,static,https://careers.wipfli.com/all-openings?q=power%20plaform&size=n_20_n,"class=""sui-results-container"""
40,western_computer,https://westerncomputer.com/,static,https://careers.westerncomputer.com/jobs?query=power+platform,"id=""jobs_list_container"""
41,rand_group,https://www.randgroup.com/,static,https://careers-randgroup.icims.com/jobs/search?ss=1&searchKeyword=dynamics+365,"class=""container-fluid iCIMS_JobsTable"""
42,revolution_group,https://www.revolutiongroup.com/,static,https://www.revolutiongroup.com/about-us/join-us/,"id=""whr_embed_hook"""
43,sa.global,https://saglobal.com/,static,https://sa-global.breezy.hr/,"class=""position transition"""
44,ttec_digital_(avtex),https://www.ttec.com/,static,https://jobs.lever.co/ttecdigital,"class=""posting"""
45,encore,https://www.encorebusiness.com/,static,https://www.encorebusiness.com/company/careers/,"class=""careers-no-bullets"""
46,bdo,https://www.bdo.com/,static,https://ebqb.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=power+platform&mode=location,"class=""job-list-item__link"""
47,ust,https://www.ust.com/,static,https://usource.ripplehire.com/candidate/?token=xHQWoFn4C242POo7xMpH&source=CAREERSITE#list/search=power%20platform,"class=""list-job-box"""
48,digitall_nature_bulgaria_eood,https://digitall.com/,static,https://digitall.com/careers/apply,"role=""listitem"""
49,creospark,https://creospark.com/,static,https://creospark.com/careers/#positions,"class=""panel-heading"""
50,hexaware,https://hexaware.com/,static,https://jobs.hexaware.com/#en/sites/CX_1/jobs?keyword=power+platform&mode=location&sortBy=POSTING_DATES_DESC,"class=""job-list-item__link"""
51,wipro,https://www.wipro.com/,static,https://careers.wipro.com/search?q=&q2=&alertId=&locationsearch=&title=power+platform&location=&date=,"class=""data-row"""
52,birlasoft,https://www.birlasoft.com/,static,https://jobs.birlasoft.com/search/?createNewAlert=false&q=power+platform&optionsFacetsDD_country=&optionsFacetsDD_department=,"id=""searchresults"""
53,improving,https://www.improving.com/,static,https://www.improving.com/careers/open-positions/?search=power+platform,"class=""MuiDataGrid-main css-opb0c2"""
54,twoday,https://www.twoday.com/,static,https://www.twoday.com/careers/open-positions,"class=""tw-w-full tw-relative"""
55,tietoevry,https://www.tietoevry.com/,satic,https://careers.tietoevry.com/jobs?q=microsoft%20dynamics&options=&page=1,"class=""attrax-list-widget__lists"""
56,planet_technologies,https://go-planet.com/,static,https://go-planet.com/?s=microsoft+dynamics,"class=""et_pb_post"""
57,kainos,https://www.kainos.com/,static,https://careers.kainos.com/gb/en/search-results?keywords=power%20platform,"role=""listitem"""
58,slalom_consulting,https://www.slalom.com/,static,https://jobs.slalom.com/#/?keywords=power%20platform%20,"id=""result-count"""
59,pwc,https://www.pwc.com/,static,https://jobs.us.pwc.com/search-jobs/power%20platform/932/1?fl=6252001,ul
60,zensar_technologies,,static,https://fa-etvl-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?keyword=power+plaform&mode=location&sortBy=POSTING_DATES_DESC,div
61,hays_technology,https://www.hays.com,static,"https://www.hays.com/job-search/power-platform-jobs-in-united-states-us?q=Power%20Platform&location=United%20States,%20US&specialismId=&subSpecialismId=&locationf=&industryf=&sortType=0&jobType=-1&flexiWorkType=-1&payTypefacet=-1&minPay=-1&maxPay=-1&jobSource=HaysGCJ&searchPageTitle=Power%20Platform%20Jobs%20in%20United%20States,%20US%20%7C%20Hays%20Recruitment%20US&searchPageDesc=Looking%20for%20a%20new%20Power%20Platform%20job%20in%20United%20States,%20US%3F%20Browse%20our%20latest%20Power%20Platform%20jobs%20and%20apply%20with%20Hays!","id=""detailsSection"""
62,conspicuous,https://conspicuous.com,static,https://conspicuous.com/jobs/,"class=""job_listings"""
76,,,,https://www.nigelfrank.com/microsoft-jobs?newJobs=true&keyword=Dyanmics+365&location=&jobType=both&page=8&remote=&security=&salaryFrom=&salaryTo=&salaryCurrency=&segment=&product=,
78,k2_partnering,,static,https://k2partnering.com/talent/jobs/?search_keywords=power+platform&search_location=&filter_by_custom_job_location=&filter_job_type%5B%5D=contract&filter_job_type%5B%5D=permanent&filter_job_type%5B%5D=,"class=""job_listings"""
